id,asnNumber,status,supplierName,expectedDate,actualDate,totalLines,receivedLines,totalUnits,receivedUnits,dock,poNumber,isOverdue
ASN001,ASN-2026-1201,receiving,Siemens Industrial Supply,2026-02-17T10:00:00Z,2026-02-17T09:45:00Z,4,2,200,120,Dock 3,PO-8834,false
ASN002,ASN-2026-1198,expected,Bosch Automation Parts,2026-02-16T14:00:00Z,,6,0,450,0,Dock 1,PO-8820,true
ASN003,ASN-2026-1202,received,ABB Industrial Supplies,2026-02-16T10:00:00Z,2026-02-16T09:40:00Z,5,5,320,320,Dock 2,PO-8838,false
ASN004,ASN-2026-1203,receiving,Schneider Electric India,2026-02-17T12:00:00Z,2026-02-17T11:50:00Z,7,3,540,210,Dock 4,PO-8841,false
ASN005,ASN-2026-1204,expected,Delta Automation Ltd,2026-02-18T09:30:00Z,,4,0,260,0,Dock 1,PO-8845,false
ASN006,ASN-2026-1205,overdue,Yaskawa Robotics,2026-02-16T15:00:00Z,,6,0,410,0,Dock 5,PO-8848,true
ASN007,ASN-2026-1206,received,Panasonic Industrial,2026-02-17T08:30:00Z,2026-02-17T08:20:00Z,3,3,180,180,Dock 2,PO-8851,false
ASN008,ASN-2026-1207,receiving,Mitsubishi Electric,2026-02-17T13:00:00Z,2026-02-17T12:45:00Z,8,4,600,300,Dock 3,PO-8854,false
ASN009,ASN-2026-1208,expected,Hitachi Industrial Systems,2026-02-18T11:00:00Z,,5,0,350,0,Dock 2,PO-8858,false
ASN010,ASN-2026-1209,receiving,Toshiba Automation,2026-02-18T12:30:00Z,2026-02-18T12:10:00Z,6,2,420,150,Dock 4,PO-8861,false
ASN011,ASN-2026-1210,received,L&T Electrical Systems,2026-02-17T09:00:00Z,2026-02-17T08:50:00Z,4,4,280,280,Dock 1,PO-8865,false
ASN012,ASN-2026-1211,overdue,Rockwell Automation,2026-02-16T16:00:00Z,,7,0,500,0,Dock 5,PO-8869,true
ASN013,ASN-2026-1212,expected,Emerson Industrial,2026-02-18T14:00:00Z,,3,0,190,0,Dock 3,PO-8872,false
ASN014,ASN-2026-1213,receiving,Honeywell Process Solutions,2026-02-18T10:15:00Z,2026-02-18T10:00:00Z,5,2,310,120,Dock 2,PO-8876,false
ASN015,ASN-2026-1214,received,GE Industrial Equipment,2026-02-17T07:45:00Z,2026-02-17T07:40:00Z,6,6,410,410,Dock 4,PO-8880,false
ASN016,ASN-2026-1215,expected,Omron Automation,2026-02-18T15:30:00Z,,4,0,260,0,Dock 1,PO-8884,false
ASN017,ASN-2026-1216,receiving,Fuji Electric Corp,2026-02-18T13:45:00Z,2026-02-18T13:30:00Z,7,3,480,200,Dock 3,PO-8888,false
ASN018,ASN-2026-1217,overdue,Siemens Mobility,2026-02-16T18:00:00Z,,5,0,350,0,Dock 5,PO-8892,true
ASN019,ASN-2026-1218,received,ABB Robotics Division,2026-02-17T06:30:00Z,2026-02-17T06:20:00Z,3,3,150,150,Dock 2,PO-8896,false
ASN020,ASN-2026-1219,receiving,Schneider Automation,2026-02-18T11:50:00Z,2026-02-18T11:35:00Z,6,4,390,260,Dock 4,PO-8900,false
ASN021,ASN-2026-1220,expected,Delta Electronics,2026-02-18T16:10:00Z,,4,0,220,0,Dock 1,PO-8904,false
ASN022,ASN-2026-1221,received,Panasonic Factory Solutions,2026-02-17T08:10:00Z,2026-02-17T08:00:00Z,5,5,300,300,Dock 3,PO-8908,false
ASN023,ASN-2026-1222,receiving,Mitsubishi Heavy Industries,2026-02-18T14:20:00Z,2026-02-18T14:05:00Z,8,3,620,240,Dock 5,PO-8912,false
