id,orderNumber,status,priority,customerName,totalLines,pickedLines,packedLines,totalUnits,createdAt,dueDate,waveId,carrier,stagingZone
ORD001,WO-2026-0451,picking,high,AutoTech Manufacturing,5,2,0,48,2026-02-17T06:00:00Z,2026-02-17T18:00:00Z,WAVE-042,DHL Express,Zone D
ORD002,WO-2026-0452,pending,urgent,RoboSys India Pvt Ltd,3,0,0,12,2026-02-17T07:30:00Z,2026-02-17T14:00:00Z,,BlueDart,Zone D
ORD003,WO-2026-0453,picking,medium,Precision Auto Components,6,3,1,72,2026-02-17T08:10:00Z,2026-02-18T12:00:00Z,WAVE-043,Delhivery,Zone D
ORD004,WO-2026-0454,packed,high,NextGen Robotics Ltd,4,4,4,36,2026-02-17T05:50:00Z,2026-02-17T16:00:00Z,WAVE-041,BlueDart,Zone D
ORD005,WO-2026-0455,shipped,medium,Omega Industrial Solutions,7,7,7,95,2026-02-16T14:30:00Z,2026-02-17T10:00:00Z,WAVE-039,DHL Express,Zone D
ORD006,WO-2026-0456,pending,low,Metro Engineering Works,2,0,0,8,2026-02-17T09:40:00Z,2026-02-19T15:00:00Z,,Ecom Express,Zone D
ORD007,WO-2026-0457,picking,urgent,FutureTech Automation,5,1,0,41,2026-02-17T10:05:00Z,2026-02-17T20:00:00Z,WAVE-044,BlueDart,Zone D
ORD008,WO-2026-0458,packed,medium,Alpha Manufacturing Co,3,3,3,27,2026-02-17T07:10:00Z,2026-02-17T17:30:00Z,WAVE-042,DTDC,Zone D
ORD009,WO-2026-0459,picking,high,Prime Robotics Pvt Ltd,6,2,0,63,2026-02-17T11:00:00Z,2026-02-18T13:00:00Z,WAVE-045,DHL Express,Zone D
ORD010,WO-2026-0460,cancelled,low,Vertex Industrial Systems,4,0,0,30,2026-02-16T12:20:00Z,2026-02-17T09:00:00Z,,Delhivery,Zone D
ORD011,WO-2026-0461,picking,high,Zenith Auto Parts,5,2,1,52,2026-02-18T06:20:00Z,2026-02-18T18:00:00Z,WAVE-046,DHL Express,Zone D
ORD012,WO-2026-0462,pending,urgent,Orion Robotics Ltd,4,0,0,34,2026-02-18T07:10:00Z,2026-02-18T13:30:00Z,,BlueDart,Zone D
ORD013,WO-2026-0463,packed,medium,Delta Engineering Co,3,3,3,21,2026-02-18T08:00:00Z,2026-02-18T16:00:00Z,WAVE-046,DTDC,Zone D
ORD014,WO-2026-0464,shipped,high,HyperTech Industries,6,6,6,78,2026-02-17T15:30:00Z,2026-02-18T10:00:00Z,WAVE-045,DHL Express,Zone D
ORD015,WO-2026-0465,picking,urgent,MechaWorks Pvt Ltd,7,3,1,88,2026-02-18T09:15:00Z,2026-02-18T20:00:00Z,WAVE-047,BlueDart,Zone D
ORD016,WO-2026-0466,pending,low,SteelCore Manufacturing,2,0,0,10,2026-02-18T10:30:00Z,2026-02-20T14:00:00Z,,Ecom Express,Zone D
ORD017,WO-2026-0467,packed,medium,Axis Industrial Ltd,4,4,4,44,2026-02-18T07:50:00Z,2026-02-18T17:00:00Z,WAVE-046,Delhivery,Zone D
ORD018,WO-2026-0468,picking,high,NovaTech Automation,5,2,0,57,2026-02-18T11:05:00Z,2026-02-19T12:00:00Z,WAVE-048,DHL Express,Zone D
ORD019,WO-2026-0469,shipped,medium,Vertex Robotics,6,6,6,69,2026-02-17T16:40:00Z,2026-02-18T11:30:00Z,WAVE-045,BlueDart,Zone D
ORD020,WO-2026-0470,cancelled,low,Prime Industrial Co,3,0,0,18,2026-02-17T13:20:00Z,2026-02-18T09:00:00Z,,DTDC,Zone D
ORD021,WO-2026-0471,picking,urgent,Future Systems Pvt Ltd,6,1,0,66,2026-02-18T12:10:00Z,2026-02-18T22:00:00Z,WAVE-049,BlueDart,Zone D
ORD022,WO-2026-0472,pending,medium,Alpha Robotics,4,0,0,32,2026-02-18T13:00:00Z,2026-02-19T15:00:00Z,,Delhivery,Zone D
ORD023,WO-2026-0473,packed,high,Omega Tech Solutions,5,5,5,55,2026-02-18T08:30:00Z,2026-02-18T18:30:00Z,WAVE-047,DHL Express,Zone D
ORD024,WO-2026-0474,shipped,medium,Industrial Dynamics Ltd,7,7,7,91,2026-02-17T17:10:00Z,2026-02-18T12:30:00Z,WAVE-045,Ecom Express,Zone D
ORD025,WO-2026-0475,picking,high,AutoSys Components,6,3,1,73,2026-02-18T09:50:00Z,2026-02-19T13:00:00Z,WAVE-048,DTDC,Zone D
ORD026,WO-2026-0476,pending,low,NextWave Engineering,2,0,0,9,2026-02-18T10:45:00Z,2026-02-20T16:00:00Z,,BlueDart,Zone D
ORD027,WO-2026-0477,packed,medium,SmartFab Industries,3,3,3,24,2026-02-18T11:25:00Z,2026-02-18T19:00:00Z,WAVE-049,Delhivery,Zone D
ORD028,WO-2026-0478,picking,urgent,Neo Robotics Pvt Ltd,5,2,0,49,2026-02-18T12:40:00Z,2026-02-18T23:00:00Z,WAVE-050,DHL Express,Zone D
ORD029,WO-2026-0479,shipped,high,TechNova Systems,6,6,6,82,2026-02-17T18:00:00Z,2026-02-18T14:00:00Z,WAVE-046,BlueDart,Zone D
ORD030,WO-2026-0480,cancelled,low,CoreMech Solutions,4,0,0,28,2026-02-17T14:15:00Z,2026-02-18T10:30:00Z,,Ecom Express,Zone D
