id,sku,productName,zone,location,quantityOnHand,quantityReserved,quantityAvailable,reorderPoint,status,lastUpdated,unitOfMeasure,weight,category
INV001,SKU-A1001,Industrial Bearing 6205,Zone A,A-01-03,5,2,3,20,available,2026-02-17T08:30:00Z,EA,0.12,Bearings
INV002,SKU-A1002,Conveyor Belt Section 2M,Zone A,A-02-07,150,30,120,25,available,2026-02-17T09:15:00Z,EA,4.5,Conveyors
INV003,SKU-B2001,Servo Motor SM-400,Zone B,B-01-01,8,8,0,10,reserved,2026-02-17T07:45:00Z,EA,3.2,Motors
INV004,SKU-B2002,PLC Controller Unit X200,Zone B,B-03-05,45,10,35,15,available,2026-02-17T10:00:00Z,EA,1.8,Controllers
INV005,SKU-C3001,Safety Light Curtain SLC-80,Zone C,C-02-02,2,0,2,5,available,2026-02-16T14:30:00Z,EA,0.9,Safety
INV006,SKU-A1003,Pneumatic Cylinder PC-50,Zone A,A-04-01,0,0,0,12,available,2026-02-15T16:00:00Z,EA,2.1,Pneumatics
INV007,SKU-A1004,Hydraulic Pump HP-20,Zone A,A-05-02,18,4,14,10,available,2026-02-17T11:10:00Z,EA,6.4,Hydraulics
INV008,SKU-A1005,Linear Guide Rail LG-300,Zone A,A-06-01,60,12,48,20,available,2026-02-17T11:25:00Z,EA,3.6,Motion
INV009,SKU-A1006,Industrial Coupling IC-90,Zone A,A-02-03,22,5,17,15,available,2026-02-17T10:40:00Z,EA,0.8,Mechanical
INV010,SKU-A1007,Air Filter Cartridge AF-10,Zone A,A-03-06,95,20,75,30,available,2026-02-17T09:55:00Z,EA,0.3,Maintenance
INV011,SKU-B2003,Variable Frequency Drive VFD-5HP,Zone B,B-02-04,12,3,9,8,available,2026-02-17T08:20:00Z,EA,5.1,Drives
INV012,SKU-B2004,Control Panel Enclosure CE-24,Zone B,B-04-02,40,6,34,15,available,2026-02-17T07:50:00Z,EA,7.8,Enclosures
